linha,sku,nome,motivo,erro
1,3465,Abajour Para Hamster,DUPLICADO,SKU 3465 já existe (ID: 168)
2,1635,Acessorios 800,DUPLICADO,SKU 1635 já existe (ID: 169)
3,1630,Acessorios 900,DUPLICADO,SKU 1630 já existe (ID: 170)
4,991,Adesivo  Variados,DUPLICADO,SKU 991 já existe (ID: 171)
5,6041,Adesivo Borboleta,DUPLICADO,SKU 6041 já existe (ID: 172)
6,1636,Adesivo Mini Presilha,DUPLICADO,SKU 1636 já existe (ID: 173)
7,997,Adesivo Presilha,DUPLICADO,SKU 997 já existe (ID: 174)
8,6040,Adesivo Presilha Estrela,DUPLICADO,SKU 6040 já existe (ID: 175)
9,1868,Adesivos  Ano Novo,DUPLICADO,SKU 1868 já existe (ID: 176)
10,2649,Adesivos Laco G,DUPLICADO,SKU 2649 já existe (ID: 177)
11,1507,Adesivos Laco M,DUPLICADO,SKU 1507 já existe (ID: 178)
12,1871,Adesivos Laco vermelho,DUPLICADO,SKU 1871 já existe (ID: 179)
13,1508,Adesivos Variados,DUPLICADO,SKU 1508 já existe (ID: 180)
14,6205,Alcon Labcon Cloro Test 15ml,DUPLICADO,SKU 6205 já existe (ID: 181)
15,6206,Alcon Labcon Club Revitalizante 15ml,DUPLICADO,SKU 6206 já existe (ID: 182)
16,6207,Alcon Labcon Test Nitrito,DUPLICADO,SKU 6207 já existe (ID: 183)
17,2927,Alergocort Shampoo 200 ml,DUPLICADO,SKU 2927 já existe (ID: 184)
18,1252,Alicate de Unhas Comfort Agrodog,DUPLICADO,SKU 1252 já existe (ID: 185)
19,3278,Alicate Grande p/ Corte de Unhas,DUPLICADO,SKU 3278 já existe (ID: 186)
20,2893,Alicate Grande para Corte de Unhas,DUPLICADO,SKU 2893 já existe (ID: 187)
21,2892,Alicate Guilhotina para Corte de Unha,DUPLICADO,SKU 2892 já existe (ID: 188)
22,4003,Alicate Medio p/ Corte de Unhas 12cm,DUPLICADO,SKU 4003 já existe (ID: 189)
23,1306,Alicate Medio para Corte de Unha,DUPLICADO,SKU 1306 já existe (ID: 190)
24,2865,Alicate p Corte de Unhas Pequeno,DUPLICADO,SKU 2865 já existe (ID: 191)
25,5717,Alicate para Corte de Unha Tesoura,DUPLICADO,SKU 5717 já existe (ID: 192)
26,4001,Alicate Pet com Lixa A-01,DUPLICADO,SKU 4001 já existe (ID: 193)
27,4002,Alicate Pet com Lixa A-02,DUPLICADO,SKU 4002 já existe (ID: 194)
28,4030,Alicate Pet com Lixa G SP,DUPLICADO,SKU 4030 já existe (ID: 195)
29,2265,Alimentador e Bebedouro Pelos Longos Automatico c Suporte Azul/Rosa SP,DUPLICADO,SKU 2265 já existe (ID: 196)
30,3030,Almofada Paris Furacaopet N1,DUPLICADO,SKU 3030 já existe (ID: 197)
31,1016,Almofada Premium G,DUPLICADO,SKU 1016 já existe (ID: 198)
32,4358,Almofada Premium GG,DUPLICADO,SKU 4358 já existe (ID: 199)
33,1015,Almofada Premium M,DUPLICADO,SKU 1015 já existe (ID: 200)
34,2144,Anima Pet Mochila G,DUPLICADO,SKU 2144 já existe (ID: 201)
35,2143,Anima Pet Mochila M,DUPLICADO,SKU 2143 já existe (ID: 202)
36,2142,Anima Pet Mochila P,DUPLICADO,SKU 2142 já existe (ID: 203)
37,669,Apito Para Adestramento Trixie,DUPLICADO,SKU 669 já existe (ID: 204)
38,5384,Aplicador de Remedio/comprimido com ponta de Silicone,DUPLICADO,SKU 5384 já existe (ID: 205)
39,5791,Aquario Beteira 5 Divisorias,DUPLICADO,SKU 5791 já existe (ID: 206)
40,5794,Aquario Beteira Grande Decorado,DUPLICADO,SKU 5794 já existe (ID: 207)
41,5790,Aquario Beteira Medio 2 Divisorias,DUPLICADO,SKU 5790 já existe (ID: 208)
42,1197,Aquario Beteira Medio 2 Divisorias Decorado,DUPLICADO,SKU 1197 já existe (ID: 209)
43,5793,Aquario Beteira Medio Decorado,DUPLICADO,SKU 5793 já existe (ID: 210)
44,5792,Aquario Beteira Pequena Decorado,DUPLICADO,SKU 5792 já existe (ID: 211)
45,1196,Aquario Beteira Quadrada Pequena,DUPLICADO,SKU 1196 já existe (ID: 212)
46,5944,Aquario de Acrilico para Tartaruga/peixe SP,DUPLICADO,SKU 5944 já existe (ID: 213)
47,3241,Areia Granulado de Madeira p Gato IpetWoods 10kg,DUPLICADO,SKU 3241 já existe (ID: 214)
48,3335,Areia Granulado de Madeira p Gato IpetWoods 20kg,DUPLICADO,SKU 3335 já existe (ID: 215)
49,1535,Areia Granulado de Madeira p Gato IpetWoods 2kg,DUPLICADO,SKU 1535 já existe (ID: 216)
50,3337,Areia Granulado de Madeira p Gato IpetWoods 4kg,DUPLICADO,SKU 3337 já existe (ID: 217)
51,3336,Areia Granulado de Madeira p Gatos Profeline 10kg,DUPLICADO,SKU 3336 já existe (ID: 218)
52,932,Areia Kets Finissimo 8kg,DUPLICADO,SKU 932 já existe (ID: 219)
53,3240,Areia Kets Granulado de Madeira 2kg,DUPLICADO,SKU 3240 já existe (ID: 220)
54,3244,"Areia Micro Silica Pet Cute 1,5kg",DUPLICADO,SKU 3244 já existe (ID: 221)
55,3542,Areia Pipicat Premium Carvao Ativado 4kg,DUPLICADO,SKU 3542 já existe (ID: 222)
56,1863,Areia Pipicat Premium Perfumado Controle de Odores 4kg,DUPLICADO,SKU 1863 já existe (ID: 223)
57,3541,"Areia Pipicat Silica Cristal 1,6kg",DUPLICADO,SKU 3541 já existe (ID: 224)
58,3540,Areia Pipicat Ultra Light 2kg,DUPLICADO,SKU 3540 já existe (ID: 225)
59,3245,"Areia SIlica Grossa Chalesco 1,8kg",DUPLICADO,SKU 3245 já existe (ID: 226)
60,1773,"Areia Silica Ipet Cat Urinary Ph Indicador 1,6 kg",DUPLICADO,SKU 1773 já existe (ID: 227)
61,5132,Aromatizante Automotivo Figurinhas Pet,DUPLICADO,SKU 5132 já existe (ID: 228)
62,2880,Arranhado Rato Com Bola,DUPLICADO,SKU 2880 já existe (ID: 229)
63,3561,Arranhador 3 Play Sao Paulo,DUPLICADO,SKU 3561 já existe (ID: 230)
64,3560,Arranhador Canto de Sofa Sao Paulo,DUPLICADO,SKU 3560 já existe (ID: 231)
65,3562,Arranhador Casa de Gato 4 Play Sao Paulo,DUPLICADO,SKU 3562 já existe (ID: 232)
66,3559,Arranhador Casa de Gato com Toboga,DUPLICADO,SKU 3559 já existe (ID: 233)
67,3304,Arranhador com Galho SP,DUPLICADO,SKU 3304 já existe (ID: 234)
68,3253,Arranhador Cone Com 4 Bolas G SP,DUPLICADO,SKU 3253 já existe (ID: 235)
69,2879,Arranhador de Gato Base Redonda com Bolinha,DUPLICADO,SKU 2879 já existe (ID: 236)
70,1101,Arranhador de Sisal em Formato de Rato Marrom c/ Catnip,DUPLICADO,SKU 1101 já existe (ID: 237)
71,3303,Arranhador Gato 3 Níveis Com Caixa Esconde Esconde SP,DUPLICADO,SKU 3303 já existe (ID: 238)
